filename,control_name,locus,expected_foldchange
230321_M07977_0008_000000000-KHJKK_amplicon_coverage_DD2_HB3.txt,dd2,MDR1,3
230321_M07977_0008_000000000-KHJKK_amplicon_coverage_DD2_HB3.txt,dd2,HRP2,0
230321_M07977_0008_000000000-KHJKK_amplicon_coverage_DD2_HB3.txt,hb3,HRP3,0
230410_M07977_0010_000000000-KHJCV_amplicon_coverage_DD2_HB3.txt,dd2,MDR1,3
230410_M07977_0010_000000000-KHJCV_amplicon_coverage_DD2_HB3.txt,dd2,HRP2,0
230410_M07977_0010_000000000-KHJCV_amplicon_coverage_DD2_HB3.txt,hb3,HRP3,0
230525_M07977_0011_000000000-KHHNT_amplicon_coverage_DD2_HB3.txt,dd2,MDR1,3
230525_M07977_0011_000000000-KHHNT_amplicon_coverage_DD2_HB3.txt,dd2,HRP2,0
230525_M07977_0011_000000000-KHHNT_amplicon_coverage_DD2_HB3.txt,hb3,MDR1,3
230623_M07977_0012_000000000-KJGHP_amplicon_coverage_DD2.txt,dd2,MDR1,3
230623_M07977_0012_000000000-KJGHP_amplicon_coverage_DD2.txt,dd2,HRP3,0
BOH22_NextSeq01_amplicon_coverage_DD2.txt,dd2,MDR1,3
BOH22_NextSeq01_amplicon_coverage_DD2.txt,dd2,HRP3,0
HFS_22_03_amplicon_coverage_DD2_FIND-5_FIND-6.txt,dd2,MDR1,3
HFS_22_03_amplicon_coverage_DD2_FIND-5_FIND-6.txt,dd2,HRP3,0
HFS_22_03_amplicon_coverage_DD2_FIND-5_FIND-6.txt,find5,HRP2,0
HFS_22_03_amplicon_coverage_DD2_FIND-5_FIND-6.txt,find6,HRP2,0
HFS22_NextSeq02_amplicon_coverage_HB3_PM2-2_PM2-4_FIND-3_FIND-4.txt,hb3,HRP3,0
HFS22_NextSeq02_amplicon_coverage_HB3_PM2-2_PM2-4_FIND-3_FIND-4.txt,Pm2_2,PM2,2
HFS22_NextSeq02_amplicon_coverage_HB3_PM2-2_PM2-4_FIND-3_FIND-4.txt,Pm2_4,PM2,4
HFS22_NextSeq02_amplicon_coverage_HB3_PM2-2_PM2-4_FIND-3_FIND-4.txt,find3,HRP2,0
HFS22_NextSeq02_amplicon_coverage_HB3_PM2-2_PM2-4_FIND-3_FIND-4.txt,find4,HRP2,0
HFS_NextSeq01_amplicon_coverage_DD2.txt,dd2,MDR1,3
HFS_NextSeq01_amplicon_coverage_DD2.txt,dd2,HRP3,0
MULB_NextSeq01_amplicon_coverage_DD2.txt,dd2,MDR1,3
MULB_NextSeq01_amplicon_coverage_DD2.txt,dd2,HRP3,0
REACT2_NextSeq01_amplicon_coverage_DD2.txt,dd2,MDR1,3
REACT2_NextSeq01_amplicon_coverage_DD2.txt,dd2,HRP3,0
SMC2_NextSeq01_amplicon_coverage_DD2.txt,dd2,MDR1,3
SMC2_NextSeq01_amplicon_coverage_DD2.txt,dd2,HRP3,0
,,,
,PUT EXACT CONTROL NAMES!,,
